run,team,round,lowest,highest
0,Borussia Dortmund,5,36,1
0,Real Madrid,5,32,1
0,PSV,5,36,1
0,Manchester City,5,36,1
0,Bayern Munich,5,35,1
0,Lille,5,36,1
0,Inter,5,36,1
0,Atletico Madrid,5,32,1
0,PSG,5,36,1
0,Celtic,5,36,1
0,Liverpool,5,36,1
0,Leipzig,5,36,1
0,Young Boys,5,36,1
0,Barcelona,5,32,1
0,Bayer Leverkusen,5,36,1
0,Atalanta,5,36,1
0,Sporting CP,5,36,1
0,AS Monaco,5,36,1
0,Aston Villa,5,36,1
0,Juventus,5,35,1
0,PAOK,5,36,2
0,Galatasaray,5,36,1
0,Bologna,5,36,1
0,Girona,5,36,2
0,Maccabi Tel Aviv,5,36,1
0,Arsenal,5,36,1
0,Sparta Praha,5,36,1
0,Sturm Graz,5,36,1
0,Shakhtar Donetsk,5,36,1
0,Fenerbahçe,5,36,1
0,Stuttgart,5,36,1
0,Benfica,5,36,1
0,Feyenoord,5,36,1
0,Club Brugge,5,36,1
0,AC Milan,5,36,1
0,Stade Brestois,5,36,1
0,Borussia Dortmund,6,34,1
0,Real Madrid,6,17,1
0,PSV,6,36,3
0,Manchester City,6,35,1
0,Bayern Munich,6,25,1
0,Lille,6,36,3
0,Inter,6,36,3
0,Atletico Madrid,6,27,1
0,PSG,6,35,1
0,Celtic,6,36,3
0,Liverpool,6,27,1
0,Leipzig,6,34,1
0,Young Boys,6,36,8
0,Barcelona,6,17,1
0,Bayer Leverkusen,6,36,3
0,Atalanta,6,36,1
0,Sporting CP,6,36,2
0,AS Monaco,6,36,8
0,Aston Villa,6,36,1
0,Juventus,6,25,1
0,PAOK,6,36,6
0,Galatasaray,6,36,2
0,Bologna,6,36,3
0,Girona,6,36,12
0,Maccabi Tel Aviv,6,36,3
0,Arsenal,6,35,1
0,Sparta Praha,6,36,3
0,Sturm Graz,6,36,8
0,Shakhtar Donetsk,6,36,1
0,Fenerbahçe,6,36,1
0,Stuttgart,6,36,3
0,Benfica,6,36,3
0,Feyenoord,6,36,2
0,Club Brugge,6,36,1
0,AC Milan,6,34,1
0,Stade Brestois,6,36,3
0,Borussia Dortmund,7,26,3
0,Real Madrid,7,10,1
0,PSV,7,36,11
0,Manchester City,7,22,2
0,Bayern Munich,7,11,1
0,Lille,7,36,11
0,Inter,7,36,13
0,Atletico Madrid,7,20,1
0,PSG,7,22,2
0,Celtic,7,36,11
0,Liverpool,7,13,1
0,Leipzig,7,20,1
0,Young Boys,7,36,16
0,Barcelona,7,10,1
0,Bayer Leverkusen,7,33,6
0,Atalanta,7,31,5
0,Sporting CP,7,35,7
0,AS Monaco,7,36,15
0,Aston Villa,7,33,6
0,Juventus,7,11,1
0,PAOK,7,36,15
0,Galatasaray,7,35,9
0,Bologna,7,36,13
0,Girona,7,36,20
0,Maccabi Tel Aviv,7,35,7
0,Arsenal,7,22,2
0,Sparta Praha,7,36,11
0,Sturm Graz,7,36,16
0,Shakhtar Donetsk,7,35,7
0,Fenerbahçe,7,35,7
0,Stuttgart,7,36,13
0,Benfica,7,33,6
0,Feyenoord,7,31,5
0,Club Brugge,7,33,6
0,AC Milan,7,26,3
0,Stade Brestois,7,36,11
0,Borussia Dortmund,8,13,5
0,Real Madrid,8,4,1
0,PSV,8,34,18
0,Manchester City,8,15,7
0,Bayern Munich,8,6,1
0,Lille,8,34,18
0,Inter,8,31,15
0,Atletico Madrid,8,11,2
0,PSG,8,11,4
0,Celtic,8,29,14
0,Liverpool,8,8,1
0,Leipzig,8,13,5
0,Young Boys,8,36,28
0,Barcelona,8,6,1
0,Bayer Leverkusen,8,29,14
0,Atalanta,8,15,7
0,Sporting CP,8,31,15
0,AS Monaco,8,36,28
0,Aston Villa,8,29,14
0,Juventus,8,11,2
0,PAOK,8,34,15
0,Galatasaray,8,26,12
0,Bologna,8,31,15
0,Girona,8,36,33
0,Maccabi Tel Aviv,8,31,15
0,Arsenal,8,11,4
0,Sparta Praha,8,34,18
0,Sturm Graz,8,36,30
0,Shakhtar Donetsk,8,31,15
0,Fenerbahçe,8,31,15
0,Stuttgart,8,36,24
0,Benfica,8,26,12
0,Feyenoord,8,25,12
0,Club Brugge,8,29,14
0,AC Milan,8,13,5
0,Stade Brestois,8,29,14
1,Borussia Dortmund,5,36,1
1,Real Madrid,5,36,1
1,PSV,5,36,1
1,Manchester City,5,36,1
1,Bayern Munich,5,36,1
1,Lille,5,36,1
1,Inter,5,36,1
1,Atletico Madrid,5,36,1
1,PSG,5,36,1
1,Celtic,5,36,1
1,Liverpool,5,36,1
1,Leipzig,5,36,1
1,Young Boys,5,36,1
1,Barcelona,5,36,1
1,Bayer Leverkusen,5,36,1
1,Atalanta,5,36,1
1,Sporting CP,5,36,1
1,AS Monaco,5,36,1
1,Aston Villa,5,36,1
1,Juventus,5,36,1
1,PAOK,5,36,1
1,Galatasaray,5,36,1
1,Bologna,5,36,1
1,Girona,5,36,1
1,Maccabi Tel Aviv,5,36,1
1,Arsenal,5,36,1
1,Sparta Praha,5,36,1
1,Sturm Graz,5,36,1
1,Shakhtar Donetsk,5,36,1
1,Fenerbahçe,5,36,1
1,Stuttgart,5,36,1
1,Benfica,5,36,1
1,Feyenoord,5,36,1
1,Club Brugge,5,36,1
1,AC Milan,5,36,1
1,Stade Brestois,5,36,1
1,Borussia Dortmund,6,34,1
1,Real Madrid,6,28,1
1,PSV,6,35,1
1,Manchester City,6,34,1
1,Bayern Munich,6,25,1
1,Lille,6,36,1
