run,round,home_team,away_team
0,34,Arsenal,Tottenham
0,34,Fulham,Newcastle United
0,34,Man City,Leicester
0,34,Chelsea,Liverpool
0,34,Crystal Palace,Aston Villa
0,34,Bournemouth,Everton
0,34,Brighton,Southampton
0,34,Man United,West Ham United
0,34,Brentford,Nottingham Forest
0,34,Wolverhampton,Ipswich
0,35,Leicester,Man United
0,35,Liverpool,Crystal Palace
0,35,Aston Villa,Man City
0,35,Everton,Chelsea
0,35,Newcastle United,Arsenal
0,35,Tottenham,Wolverhampton
0,35,Nottingham Forest,Fulham
0,35,Ipswich,Brentford
0,35,West Ham United,Brighton
0,35,Southampton,Bournemouth
0,36,Arsenal,Brentford
0,36,Fulham,Ipswich
0,36,Man City,Everton
0,36,Chelsea,Tottenham
0,36,Crystal Palace,Newcastle United
0,36,Bournemouth,Liverpool
0,36,Brighton,Aston Villa
0,36,Man United,Southampton
0,36,West Ham United,Leicester
0,36,Wolverhampton,Nottingham Forest
0,37,Leicester,Brighton
0,37,Liverpool,Man United
0,37,Aston Villa,Bournemouth
0,37,Everton,Crystal Palace
0,37,Newcastle United,Chelsea
0,37,Tottenham,Fulham
0,37,Nottingham Forest,Man City
0,37,Ipswich,Arsenal
0,37,Brentford,Wolverhampton
0,37,Southampton,West Ham United
0,38,Arsenal,Wolverhampton
0,38,Fulham,Brentford
0,38,Man City,Ipswich
0,38,Chelsea,Nottingham Forest
0,38,Crystal Palace,Tottenham
0,38,Bournemouth,Newcastle United
0,38,Brighton,Everton
0,38,Man United,Aston Villa
0,38,West Ham United,Liverpool
0,38,Southampton,Leicester
1,34,Arsenal,Tottenham
1,34,Fulham,Newcastle United
1,34,Man City,Leicester
1,34,Chelsea,Liverpool
1,34,Crystal Palace,Aston Villa
1,34,Bournemouth,Everton
1,34,Brighton,Southampton
1,34,Man United,West Ham United
1,34,Brentford,Nottingham Forest
1,34,Wolverhampton,Ipswich
1,35,Leicester,Man United
1,35,Liverpool,Crystal Palace
1,35,Aston Villa,Man City
1,35,Everton,Chelsea
1,35,Newcastle United,Arsenal
1,35,Tottenham,Wolverhampton
1,35,Nottingham Forest,Fulham
1,35,Ipswich,Brentford
1,35,West Ham United,Brighton
1,35,Southampton,Bournemouth
1,36,Arsenal,Brentford
1,36,Fulham,Ipswich
1,36,Man City,Everton
1,36,Chelsea,Tottenham
1,36,Crystal Palace,Newcastle United
1,36,Bournemouth,Liverpool
1,36,Brighton,Aston Villa
1,36,Man United,Southampton
1,36,West Ham United,Leicester
1,36,Wolverhampton,Nottingham Forest
1,37,Leicester,Brighton
1,37,Liverpool,Man United
1,37,Aston Villa,Bournemouth
1,37,Everton,Crystal Palace
1,37,Newcastle United,Chelsea
1,37,Tottenham,Fulham
1,37,Nottingham Forest,Man City
1,37,Ipswich,Arsenal
1,37,Brentford,Wolverhampton
1,37,Southampton,West Ham United
1,38,Arsenal,Wolverhampton
1,38,Fulham,Brentford
1,38,Man City,Ipswich
1,38,Chelsea,Nottingham Forest
1,38,Crystal Palace,Tottenham
1,38,Bournemouth,Newcastle United
1,38,Brighton,Everton
1,38,Man United,Aston Villa
1,38,West Ham United,Liverpool
1,38,Southampton,Leicester
2,34,Arsenal,Tottenham
2,34,Fulham,Newcastle United
2,34,Man City,Leicester
2,34,Chelsea,Liverpool
2,34,Crystal Palace,Aston Villa
2,34,Bournemouth,Everton
2,34,Brighton,Southampton
2,34,Man United,West Ham United
2,34,Brentford,Nottingham Forest
2,34,Wolverhampton,Ipswich
2,35,Leicester,Man United
2,35,Liverpool,Crystal Palace
2,35,Aston Villa,Man City
2,35,Everton,Chelsea
2,35,Newcastle United,Arsenal
2,35,Tottenham,Wolverhampton
2,35,Nottingham Forest,Fulham
2,35,Ipswich,Brentford
2,35,West Ham United,Brighton
2,35,Southampton,Bournemouth
2,36,Arsenal,Brentford
2,36,Fulham,Ipswich
2,36,Man City,Everton
2,36,Chelsea,Tottenham
2,36,Crystal Palace,Newcastle United
2,36,Bournemouth,Liverpool
2,36,Brighton,Aston Villa
2,36,Man United,Southampton
2,36,West Ham United,Leicester
2,36,Wolverhampton,Nottingham Forest
2,37,Leicester,Brighton
2,37,Liverpool,Man United
2,37,Aston Villa,Bournemouth
2,37,Everton,Crystal Palace
2,37,Newcastle United,Chelsea
2,37,Tottenham,Fulham
2,37,Nottingham Forest,Man City
2,37,Ipswich,Arsenal
2,37,Brentford,Wolverhampton
2,37,Southampton,West Ham United
2,38,Arsenal,Wolverhampton
2,38,Fulham,Brentford
