run,round,home_team,away_team
0,34,Arsenal,Ipswich
0,34,Fulham,Everton
0,34,Man City,Nottingham Forest
0,34,Chelsea,Aston Villa
0,34,Crystal Palace,Southampton
0,34,Bournemouth,Liverpool
0,34,Brighton,West Ham United
0,34,Man United,Leicester
0,34,Brentford,Newcastle United
0,34,Wolverhampton,Tottenham
0,35,Leicester,Bournemouth
0,35,Liverpool,Arsenal
0,35,Aston Villa,Crystal Palace
0,35,Everton,Chelsea
0,35,Newcastle United,Man City
0,35,Tottenham,Fulham
0,35,Nottingham Forest,Wolverhampton
0,35,Ipswich,Brentford
0,35,West Ham United,Man United
0,35,Southampton,Brighton
0,36,Arsenal,Brentford
0,36,Fulham,Nottingham Forest
0,36,Man City,Tottenham
0,36,Chelsea,Newcastle United
0,36,Crystal Palace,Everton
0,36,Bournemouth,Aston Villa
0,36,Brighton,Leicester
0,36,Man United,Liverpool
0,36,West Ham United,Southampton
0,36,Wolverhampton,Ipswich
0,37,Leicester,West Ham United
0,37,Liverpool,Man City
0,37,Aston Villa,Brighton
0,37,Everton,Bournemouth
0,37,Newcastle United,Crystal Palace
0,37,Tottenham,Chelsea
0,37,Nottingham Forest,Arsenal
0,37,Ipswich,Fulham
0,37,Brentford,Wolverhampton
0,37,Southampton,Man United
0,38,Arsenal,Wolverhampton
0,38,Fulham,Brentford
0,38,Man City,Ipswich
0,38,Chelsea,Nottingham Forest
0,38,Crystal Palace,Tottenham
0,38,Bournemouth,Newcastle United
0,38,Brighton,Everton
0,38,Man United,Aston Villa
0,38,West Ham United,Liverpool
0,38,Southampton,Leicester
1,34,Arsenal,Ipswich
1,34,Fulham,Everton
1,34,Man City,Nottingham Forest
1,34,Chelsea,Aston Villa
1,34,Crystal Palace,Southampton
1,34,Bournemouth,Liverpool
1,34,Brighton,West Ham United
1,34,Man United,Leicester
1,34,Brentford,Newcastle United
1,34,Wolverhampton,Tottenham
1,35,Leicester,Bournemouth
1,35,Liverpool,Arsenal
1,35,Aston Villa,Crystal Palace
1,35,Everton,Chelsea
1,35,Newcastle United,Man City
1,35,Tottenham,Fulham
1,35,Nottingham Forest,Wolverhampton
1,35,Ipswich,Brentford
1,35,West Ham United,Man United
1,35,Southampton,Brighton
1,36,Arsenal,Brentford
1,36,Fulham,Nottingham Forest
1,36,Man City,Tottenham
1,36,Chelsea,Newcastle United
1,36,Crystal Palace,Everton
1,36,Bournemouth,Aston Villa
1,36,Brighton,Leicester
1,36,Man United,Liverpool
1,36,West Ham United,Southampton
1,36,Wolverhampton,Ipswich
1,37,Leicester,West Ham United
1,37,Liverpool,Man City
1,37,Aston Villa,Brighton
1,37,Everton,Bournemouth
1,37,Newcastle United,Crystal Palace
1,37,Tottenham,Chelsea
1,37,Nottingham Forest,Arsenal
1,37,Ipswich,Fulham
1,37,Brentford,Wolverhampton
1,37,Southampton,Man United
1,38,Arsenal,Wolverhampton
1,38,Fulham,Brentford
1,38,Man City,Ipswich
1,38,Chelsea,Nottingham Forest
1,38,Crystal Palace,Tottenham
1,38,Bournemouth,Newcastle United
1,38,Brighton,Everton
1,38,Man United,Aston Villa
1,38,West Ham United,Liverpool
1,38,Southampton,Leicester
2,34,Arsenal,Ipswich
2,34,Fulham,Everton
2,34,Man City,Nottingham Forest
2,34,Chelsea,Aston Villa
2,34,Crystal Palace,Southampton
2,34,Bournemouth,Liverpool
2,34,Brighton,West Ham United
2,34,Man United,Leicester
2,34,Brentford,Newcastle United
2,34,Wolverhampton,Tottenham
2,35,Leicester,Bournemouth
2,35,Liverpool,Arsenal
2,35,Aston Villa,Crystal Palace
2,35,Everton,Chelsea
2,35,Newcastle United,Man City
2,35,Tottenham,Fulham
2,35,Nottingham Forest,Wolverhampton
2,35,Ipswich,Brentford
2,35,West Ham United,Man United
2,35,Southampton,Brighton
2,36,Arsenal,Brentford
2,36,Fulham,Nottingham Forest
2,36,Man City,Tottenham
2,36,Chelsea,Newcastle United
2,36,Crystal Palace,Everton
2,36,Bournemouth,Aston Villa
2,36,Brighton,Leicester
2,36,Man United,Liverpool
2,36,West Ham United,Southampton
2,36,Wolverhampton,Ipswich
2,37,Leicester,West Ham United
2,37,Liverpool,Man City
2,37,Aston Villa,Brighton
