run,round,home_team,away_team
0,34,Arsenal,Tottenham
0,34,Fulham,Newcastle United
0,34,Man City,Leicester
0,34,Chelsea,Liverpool
0,34,Crystal Palace,Aston Villa
0,34,Bournemouth,Everton
0,34,Brighton,Southampton
0,34,Man United,West Ham United
0,34,Brentford,Nottingham Forest
0,34,Wolverhampton,Ipswich
0,35,Leicester,Man United
0,35,Liverpool,Crystal Palace
0,35,Aston Villa,Man City
0,35,Everton,Chelsea
0,35,Newcastle United,Arsenal
0,35,Tottenham,Wolverhampton
0,35,Nottingham Forest,Fulham
0,35,Ipswich,Brentford
0,35,West Ham United,Brighton
0,35,Southampton,Bournemouth
0,36,Arsenal,Brentford
0,36,Fulham,Ipswich
0,36,Man City,Everton
0,36,Chelsea,Tottenham
0,36,Crystal Palace,Newcastle United
0,36,Bournemouth,Liverpool
0,36,Brighton,Aston Villa
0,36,Man United,Southampton
0,36,West Ham United,Leicester
0,36,Wolverhampton,Nottingham Forest
0,37,Leicester,Brighton
0,37,Liverpool,Man United
0,37,Aston Villa,Bournemouth
0,37,Everton,Crystal Palace
0,37,Newcastle United,Chelsea
0,37,Tottenham,Fulham
0,37,Nottingham Forest,Man City
0,37,Ipswich,Arsenal
0,37,Brentford,Wolverhampton
0,37,Southampton,West Ham United
0,38,Arsenal,Wolverhampton
0,38,Fulham,Brentford
0,38,Man City,Ipswich
0,38,Chelsea,Nottingham Forest
0,38,Crystal Palace,Tottenham
0,38,Bournemouth,Newcastle United
0,38,Brighton,Everton
0,38,Man United,Aston Villa
0,38,West Ham United,Liverpool
0,38,Southampton,Leicester
