run,round,home_team,away_team
0,5,PSV,PAOK
0,5,Manchester City,Leipzig
0,5,Inter,Arsenal
0,5,PSG,Bayern Munich
0,5,Celtic,Club Brugge
0,5,Liverpool,Lille
0,5,Atletico Madrid,Real Madrid
0,5,Benfica,Bayer Leverkusen
0,5,Feyenoord,Girona
0,5,AC Milan,Maccabi Tel Aviv
0,5,Aston Villa,Atalanta
0,5,Sporting CP,Young Boys
0,5,Fenerbahçe,Bologna
0,5,Galatasaray,Barcelona
0,5,Sparta Praha,AS Monaco
0,5,Stuttgart,Shakhtar Donetsk
0,5,Sturm Graz,Borussia Dortmund
0,5,Stade Brestois,Juventus
0,6,Borussia Dortmund,Atletico Madrid
0,6,Real Madrid,Inter
0,6,Bayern Munich,Sturm Graz
0,6,Lille,Manchester City
0,6,PSG,Galatasaray
0,6,Leipzig,Sparta Praha
0,6,Young Boys,Liverpool
0,6,Barcelona,Shakhtar Donetsk
0,6,Bayer Leverkusen,Fenerbahçe
0,6,Atalanta,Stade Brestois
0,6,Juventus,Stuttgart
0,6,Club Brugge,Arsenal
0,6,Sporting CP,AC Milan
0,6,PAOK,Feyenoord
0,6,AS Monaco,PSV
0,6,Maccabi Tel Aviv,Celtic
0,6,Bologna,Benfica
0,6,Girona,Aston Villa
0,7,Borussia Dortmund,Manchester City
0,7,Inter,PSV
0,7,Atletico Madrid,Sporting CP
0,7,Bayer Leverkusen,PSG
0,7,Atalanta,Shakhtar Donetsk
0,7,Juventus,Young Boys
0,7,Benfica,Leipzig
0,7,Club Brugge,Galatasaray
0,7,Feyenoord,Barcelona
0,7,AC Milan,Girona
0,7,Aston Villa,Celtic
0,7,PAOK,Stuttgart
0,7,Fenerbahçe,Real Madrid
0,7,AS Monaco,Liverpool
0,7,Maccabi Tel Aviv,Bayern Munich
0,7,Sparta Praha,Arsenal
0,7,Sturm Graz,Bologna
0,7,Stade Brestois,Lille
0,8,Real Madrid,Juventus
0,8,PSV,Sparta Praha
0,8,Manchester City,AC Milan
0,8,Bayern Munich,Benfica
0,8,Lille,Fenerbahçe
0,8,PSG,Club Brugge
0,8,Celtic,Inter
0,8,Liverpool,Aston Villa
0,8,Leipzig,Atalanta
0,8,Young Boys,Bayer Leverkusen
0,8,Barcelona,Stade Brestois
0,8,Arsenal,AS Monaco
0,8,Shakhtar Donetsk,Atletico Madrid
0,8,Sporting CP,Borussia Dortmund
0,8,Galatasaray,Feyenoord
0,8,Bologna,Maccabi Tel Aviv
0,8,Girona,PAOK
0,8,Stuttgart,Sturm Graz
1,5,PSV,PAOK
1,5,Manchester City,Leipzig
1,5,Inter,Arsenal
1,5,PSG,Bayern Munich
1,5,Celtic,Club Brugge
1,5,Liverpool,Lille
1,5,Atletico Madrid,Real Madrid
1,5,Benfica,Bayer Leverkusen
1,5,Feyenoord,Girona
1,5,AC Milan,Maccabi Tel Aviv
1,5,Aston Villa,Atalanta
1,5,Sporting CP,Young Boys
1,5,Fenerbahçe,Bologna
1,5,Galatasaray,Barcelona
1,5,Sparta Praha,AS Monaco
1,5,Stuttgart,Shakhtar Donetsk
1,5,Sturm Graz,Borussia Dortmund
1,5,Stade Brestois,Juventus
1,6,Borussia Dortmund,Atletico Madrid
1,6,Real Madrid,Inter
1,6,Bayern Munich,Sturm Graz
1,6,Lille,Manchester City
1,6,PSG,Galatasaray
1,6,Leipzig,Sparta Praha
1,6,Young Boys,Liverpool
1,6,Barcelona,Shakhtar Donetsk
1,6,Bayer Leverkusen,Fenerbahçe
1,6,Atalanta,Stade Brestois
1,6,Juventus,Stuttgart
1,6,Club Brugge,Arsenal
1,6,Sporting CP,AC Milan
1,6,PAOK,Feyenoord
1,6,AS Monaco,PSV
1,6,Maccabi Tel Aviv,Celtic
1,6,Bologna,Benfica
1,6,Girona,Aston Villa
1,7,Borussia Dortmund,Manchester City
1,7,Inter,PSV
1,7,Atletico Madrid,Sporting CP
1,7,Bayer Leverkusen,PSG
1,7,Atalanta,Shakhtar Donetsk
