run,round,home_team,away_team
0,34,Arsenal,Nottingham Forest
0,34,Fulham,Aston Villa
0,34,Man City,Leicester
0,34,Everton,Liverpool
0,34,Chelsea,Ipswich
0,34,Newcastle United,Brentford
0,34,Crystal Palace,Wolverhampton
0,34,Tottenham,Southampton
0,34,Brighton,Bournemouth
0,34,Man United,West Ham United
0,35,Fulham,Ipswich
0,35,Aston Villa,Chelsea
0,35,Man City,Liverpool
0,35,Newcastle United,Arsenal
0,35,Crystal Palace,Brighton
0,35,Tottenham,Wolverhampton
0,35,Bournemouth,Brentford
0,35,Nottingham Forest,Leicester
0,35,Man United,Everton
0,35,Southampton,West Ham United
0,36,Arsenal,Aston Villa
0,36,Fulham,Brentford
0,36,Man City,Newcastle United
0,36,Chelsea,Liverpool
0,36,Crystal Palace,Leicester
0,36,Nottingham Forest,Man United
0,36,Brighton,Everton
0,36,West Ham United,Tottenham
0,36,Wolverhampton,Bournemouth
0,36,Southampton,Ipswich
0,37,Leicester,Everton
0,37,Arsenal,Chelsea
0,37,Aston Villa,Man City
0,37,Newcastle United,Liverpool
0,37,Crystal Palace,Nottingham Forest
0,37,Tottenham,Fulham
0,37,Brighton,Man United
0,37,Brentford,West Ham United
0,37,Wolverhampton,Ipswich
0,37,Southampton,Bournemouth
0,38,Leicester,Brighton
0,38,Arsenal,Man City
0,38,Liverpool,Aston Villa
0,38,Fulham,West Ham United
0,38,Everton,Nottingham Forest
0,38,Newcastle United,Chelsea
0,38,Ipswich,Bournemouth
0,38,Man United,Crystal Palace
0,38,Brentford,Tottenham
0,38,Wolverhampton,Southampton
1,34,Leicester,Everton
1,34,Fulham,Arsenal
1,34,Man City,Ipswich
1,34,Chelsea,Nottingham Forest
1,34,Newcastle United,Brentford
1,34,Crystal Palace,Brighton
1,34,Man United,Aston Villa
1,34,West Ham United,Tottenham
1,34,Wolverhampton,Bournemouth
1,34,Southampton,Liverpool
1,35,Leicester,Brentford
1,35,Liverpool,Fulham
1,35,Man City,Crystal Palace
1,35,Everton,Wolverhampton
1,35,Chelsea,Southampton
1,35,Newcastle United,Arsenal
1,35,Nottingham Forest,West Ham United
1,35,Brighton,Aston Villa
1,35,Ipswich,Bournemouth
1,35,Man United,Tottenham
1,36,Liverpool,Arsenal
1,36,Aston Villa,Leicester
1,36,Man City,Fulham
1,36,Chelsea,Man United
1,36,Crystal Palace,Newcastle United
1,36,Tottenham,Southampton
1,36,Bournemouth,Everton
1,36,Nottingham Forest,Brighton
1,36,Brentford,Wolverhampton
1,36,West Ham United,Ipswich
1,37,Arsenal,Crystal Palace
1,37,Aston Villa,Everton
1,37,Man City,Liverpool
1,37,Newcastle United,Chelsea
1,37,Tottenham,Fulham
1,37,Nottingham Forest,Ipswich
1,37,Brighton,Bournemouth
1,37,Brentford,Man United
1,37,West Ham United,Leicester
1,37,Wolverhampton,Southampton
1,38,Leicester,Wolverhampton
1,38,Arsenal,Man City
1,38,Liverpool,Crystal Palace
1,38,Fulham,Newcastle United
1,38,Aston Villa,Brentford
1,38,Everton,West Ham United
1,38,Chelsea,Tottenham
1,38,Bournemouth,Nottingham Forest
1,38,Ipswich,Brighton
1,38,Man United,Southampton
2,34,Leicester,Man United
2,34,Fulham,Brentford
2,34,Man City,Newcastle United
2,34,Everton,Wolverhampton
2,34,Chelsea,Southampton
2,34,Crystal Palace,Tottenham
2,34,Bournemouth,Nottingham Forest
2,34,Brighton,Aston Villa
2,34,Ipswich,Arsenal
2,34,West Ham United,Liverpool
2,35,Arsenal,Crystal Palace
2,35,Fulham,Aston Villa
2,35,Man City,Chelsea
2,35,Tottenham,Newcastle United
2,35,Bournemouth,Liverpool
2,35,Nottingham Forest,West Ham United
2,35,Brighton,Everton
2,35,Ipswich,Brentford
2,35,Wolverhampton,Man United
2,35,Southampton,Leicester
2,36,Arsenal,Chelsea
2,36,Fulham,Crystal Palace
2,36,Aston Villa,Man City
2,36,Everton,Liverpool
2,36,Newcastle United,Man United
2,36,Tottenham,Brighton
2,36,Bournemouth,Brentford
2,36,Ipswich,Leicester
2,36,Wolverhampton,Nottingham Forest
2,36,Southampton,West Ham United
2,37,Arsenal,Aston Villa
2,37,Liverpool,Tottenham
2,37,Man City,Crystal Palace
2,37,Chelsea,Fulham
2,37,Nottingham Forest,Leicester
2,37,Brighton,Newcastle United
2,37,Man United,Everton
2,37,Brentford,Wolverhampton
2,37,West Ham United,Ipswich
2,37,Southampton,Bournemouth
2,38,Arsenal,Man City
2,38,Liverpool,Man United
2,38,Chelsea,Tottenham
2,38,Newcastle United,Everton
2,38,Crystal Palace,Aston Villa
2,38,Nottingham Forest,Ipswich
2,38,Brighton,Fulham
2,38,West Ham United,Leicester
2,38,Wolverhampton,Bournemouth
2,38,Southampton,Brentford
3,34,Fulham,Arsenal
3,34,Everton,Liverpool
3,34,Chelsea,Brighton
3,34,Crystal Palace,Leicester
3,34,Tottenham,Aston Villa
3,34,Bournemouth,Man City
3,34,Nottingham Forest,Ipswich
3,34,Man United,West Ham United
3,34,Wolverhampton,Newcastle United
3,34,Southampton,Brentford
3,35,Arsenal,Nottingham Forest
3,35,Fulham,West Ham United
3,35,Aston Villa,Chelsea
3,35,Man City,Liverpool
3,35,Everton,Tottenham
3,35,Crystal Palace,Newcastle United
3,35,Bournemouth,Leicester
3,35,Brighton,Man United
3,35,Ipswich,Brentford
3,35,Wolverhampton,Southampton
3,36,Leicester,Wolverhampton
3,36,Liverpool,Brighton
3,36,Fulham,Ipswich
3,36,Aston Villa,Newcastle United
3,36,Everton,Crystal Palace
3,36,Chelsea,Tottenham
3,36,Nottingham Forest,Man City
3,36,Man United,Arsenal
3,36,Brentford,West Ham United
3,36,Southampton,Bournemouth
3,37,Liverpool,Arsenal
3,37,Fulham,Bournemouth
3,37,Aston Villa,Everton
3,37,Newcastle United,Nottingham Forest
3,37,Crystal Palace,Brighton
3,37,Man United,Man City
3,37,Brentford,Chelsea
3,37,West Ham United,Tottenham
3,37,Wolverhampton,Ipswich
3,37,Southampton,Leicester
3,38,Arsenal,Man City
3,38,Liverpool,Man United
3,38,Newcastle United,Everton
3,38,Crystal Palace,Aston Villa
3,38,Nottingham Forest,Brighton
3,38,Ipswich,Leicester
3,38,Brentford,Tottenham
3,38,West Ham United,Chelsea
3,38,Wolverhampton,Bournemouth
3,38,Southampton,Fulham
4,34,Fulham,Aston Villa
4,34,Man City,Leicester
4,34,Everton,Nottingham Forest
4,34,Chelsea,Liverpool
4,34,Newcastle United,Ipswich
4,34,Tottenham,Brighton
4,34,Bournemouth,Arsenal
4,34,Man United,Crystal Palace
4,34,Wolverhampton,West Ham United
4,34,Southampton,Brentford
4,35,Arsenal,Tottenham
4,35,Man City,Chelsea
4,35,Newcastle United,Man United
4,35,Bournemouth,Everton
4,35,Nottingham Forest,Brighton
4,35,Ipswich,Aston Villa
4,35,Brentford,Liverpool
4,35,West Ham United,Crystal Palace
4,35,Wolverhampton,Fulham
4,35,Southampton,Leicester
4,36,Leicester,Fulham
4,36,Arsenal,Man City
4,36,Liverpool,Man United
4,36,Aston Villa,Southampton
4,36,Chelsea,Tottenham
4,36,Newcastle United,Brentford
4,36,Crystal Palace,Bournemouth
4,36,Nottingham Forest,West Ham United
4,36,Brighton,Everton
4,36,Wolverhampton,Ipswich
4,37,Leicester,Wolverhampton
4,37,Liverpool,Arsenal
4,37,Fulham,Ipswich
4,37,Everton,Crystal Palace
4,37,Tottenham,Newcastle United
4,37,Bournemouth,West Ham United
4,37,Nottingham Forest,Aston Villa
4,37,Brighton,Southampton
4,37,Man United,Man City
4,37,Brentford,Chelsea
4,38,Aston Villa,Bournemouth
4,38,Man City,Liverpool
4,38,Everton,West Ham United
4,38,Newcastle United,Chelsea
4,38,Crystal Palace,Brighton
4,38,Nottingham Forest,Fulham
4,38,Ipswich,Leicester
4,38,Man United,Arsenal
4,38,Brentford,Tottenham
4,38,Wolverhampton,Southampton
5,34,Leicester,Arsenal
5,34,Aston Villa,Wolverhampton
5,34,Newcastle United,Chelsea
5,34,Crystal Palace,Tottenham
5,34,Bournemouth,Liverpool
5,34,Brighton,Fulham
5,34,Man United,Everton
5,34,Brentford,Man City
5,34,West Ham United,Ipswich
5,34,Southampton,Nottingham Forest
5,35,Arsenal,Man City
5,35,Liverpool,Crystal Palace
5,35,Aston Villa,Bournemouth
5,35,Chelsea,Man United
5,35,Tottenham,Newcastle United
5,35,Nottingham Forest,Leicester
5,35,Brighton,Brentford
5,35,Ipswich,Everton
5,35,Wolverhampton,Fulham
5,35,Southampton,West Ham United
5,36,Leicester,Fulham
5,36,Aston Villa,Southampton
5,36,Man City,Crystal Palace
5,36,Everton,Nottingham Forest
5,36,Chelsea,Liverpool
5,36,Bournemouth,West Ham United
5,36,Brighton,Newcastle United
5,36,Man United,Arsenal
5,36,Brentford,Tottenham
5,36,Wolverhampton,Ipswich
5,37,Leicester,Wolverhampton
5,37,Liverpool,Arsenal
5,37,Fulham,Aston Villa
5,37,Man City,Chelsea
5,37,Everton,Southampton
5,37,Crystal Palace,Newcastle United
5,37,Bournemouth,Brentford
5,37,Nottingham Forest,Ipswich
5,37,Man United,Tottenham
5,37,West Ham United,Brighton
5,38,Arsenal,Chelsea
5,38,Aston Villa,Everton
5,38,Man City,Liverpool
5,38,Tottenham,Brighton
5,38,Bournemouth,Newcastle United
5,38,Ipswich,Leicester
5,38,Man United,Crystal Palace
5,38,Brentford,West Ham United
5,38,Wolverhampton,Nottingham Forest
5,38,Southampton,Fulham
6,34,Leicester,Brighton
6,34,Arsenal,Aston Villa
6,34,Fulham,Newcastle United
6,34,Man City,Everton
6,34,Chelsea,Man United
6,34,Bournemouth,Nottingham Forest
6,34,Brentford,Tottenham
6,34,West Ham United,Crystal Palace
6,34,Wolverhampton,Ipswich
6,34,Southampton,Liverpool
6,35,Liverpool,Arsenal
6,35,Aston Villa,Newcastle United
6,35,Everton,Crystal Palace
6,35,Chelsea,Wolverhampton
6,35,Tottenham,Brighton
6,35,Nottingham Forest,Fulham
6,35,Ipswich,Brentford
6,35,Man United,Bournemouth
6,35,West Ham United,Man City
6,35,Southampton,Leicester
6,36,Man City,Chelsea
6,36,Everton,Nottingham Forest
6,36,Newcastle United,Arsenal
6,36,Crystal Palace,Leicester
6,36,Brighton,Aston Villa
6,36,Ipswich,Bournemouth
6,36,Brentford,Man United
6,36,West Ham United,Tottenham
6,36,Wolverhampton,Liverpool
6,36,Southampton,Fulham
6,37,Arsenal,Man City
6,37,Fulham,Brentford
6,37,Everton,Southampton
6,37,Chelsea,Liverpool
6,37,Crystal Palace,Bournemouth
6,37,Tottenham,Wolverhampton
6,37,Nottingham Forest,Leicester
6,37,Ipswich,Brighton
6,37,Man United,Aston Villa
6,37,West Ham United,Newcastle United
6,38,Leicester,Everton
6,38,Arsenal,Chelsea
6,38,Fulham,Crystal Palace
6,38,Man City,Liverpool
6,38,Tottenham,Newcastle United
6,38,Bournemouth,Brentford
6,38,Brighton,Man United
6,38,Ipswich,Aston Villa
6,38,Wolverhampton,West Ham United
6,38,Southampton,Nottingham Forest
7,34,Leicester,Fulham
7,34,Arsenal,West Ham United
7,34,Aston Villa,Southampton
7,34,Man City,Crystal Palace
7,34,Chelsea,Wolverhampton
7,34,Bournemouth,Newcastle United
7,34,Nottingham Forest,Liverpool
7,34,Ipswich,Brighton
7,34,Man United,Tottenham
7,34,Brentford,Everton
7,35,Arsenal,Man City
7,35,Fulham,Newcastle United
7,35,Everton,Tottenham
7,35,Chelsea,Liverpool
7,35,Crystal Palace,Brentford
7,35,Bournemouth,Leicester
7,35,Nottingham Forest,Ipswich
7,35,Brighton,Southampton
7,35,West Ham United,Aston Villa
7,35,Wolverhampton,Man United
7,36,Leicester,Brighton
7,36,Liverpool,Arsenal
7,36,Fulham,Man United
7,36,Aston Villa,Chelsea
7,36,Everton,Nottingham Forest
7,36,Newcastle United,Brentford
7,36,Crystal Palace,Wolverhampton
7,36,Tottenham,Bournemouth
7,36,West Ham United,Man City
7,36,Southampton,Ipswich
7,37,Arsenal,Aston Villa
7,37,Liverpool,Crystal Palace
7,37,Fulham,West Ham United
7,37,Man City,Chelsea
7,37,Newcastle United,Man United
7,37,Nottingham Forest,Leicester
7,37,Brighton,Everton
7,37,Ipswich,Tottenham
7,37,Brentford,Wolverhampton
7,37,Southampton,Bournemouth
7,38,Leicester,Everton
7,38,Arsenal,Chelsea
7,38,Fulham,Crystal Palace
7,38,Aston Villa,Man City
7,38,Tottenham,Southampton
7,38,Nottingham Forest,Brighton
7,38,Ipswich,Bournemouth
7,38,Brentford,Man United
7,38,West Ham United,Liverpool
7,38,Wolverhampton,Newcastle United
8,34,Leicester,Wolverhampton
8,34,Arsenal,Nottingham Forest
8,34,Fulham,West Ham United
8,34,Aston Villa,Southampton
8,34,Man City,Ipswich
8,34,Newcastle United,Liverpool
8,34,Crystal Palace,Chelsea
8,34,Bournemouth,Brentford
8,34,Brighton,Everton
8,34,Man United,Tottenham
8,35,Arsenal,Chelsea
8,35,Fulham,Aston Villa
8,35,Everton,Southampton
8,35,Crystal Palace,Bournemouth
8,35,Tottenham,Wolverhampton
8,35,Nottingham Forest,West Ham United
8,35,Brighton,Newcastle United
8,35,Ipswich,Leicester
8,35,Man United,Man City
8,35,Brentford,Liverpool
8,36,Liverpool,Fulham
8,36,Aston Villa,Bournemouth
8,36,Man City,Newcastle United
8,36,Everton,Nottingham Forest
8,36,Chelsea,Brighton
8,36,Crystal Palace,Tottenham
8,36,Man United,Arsenal
8,36,Brentford,Wolverhampton
8,36,West Ham United,Ipswich
8,36,Southampton,Leicester
8,37,Liverpool,Aston Villa
8,37,Fulham,Bournemouth
8,37,Man City,Chelsea
8,37,Newcastle United,Arsenal
8,37,Crystal Palace,Wolverhampton
