run,round,team,rating,points,saldo
0,1,Borussia Dortmund,1903,3,4
0,1,Real Madrid,2100.96,3,5
0,1,PSV,1690.25,3,1
0,1,Manchester City,2008.29,1,0
0,1,Bayern Munich,2051.46,3,2
0,1,Lille,1680.33,3,1
0,1,Inter,1886.65,1,0
0,1,Atletico Madrid,1922,3,3
0,1,PSG,2021.74,3,4
0,1,Celtic,1622.02,1,0
0,1,Liverpool,1987.77,3,3
0,1,Leipzig,1805.9,3,2
0,1,Young Boys,1619.67,0,-1
0,1,Barcelona,2084.83,3,1
0,1,Bayer Leverkusen,1852.46,0,-2
0,1,Atalanta,1842.23,0,-3
0,1,Sporting CP,1676.39,0,-3
0,1,AS Monaco,1597.98,1,0
0,1,Aston Villa,1597.54,3,2
0,1,Juventus,1943.47,3,1
0,1,PAOK,1658.54,0,-2
0,1,Galatasaray,1623.61,3,3
0,1,Bologna,1585.22,3,1
0,1,Girona,1558.26,0,-4
0,1,Maccabi Tel Aviv,1631.71,1,0
0,1,Arsenal,1825.17,0,-1
0,1,Sparta Praha,1588,0,-3
0,1,Sturm Graz,1536.49,0,-3
0,1,Shakhtar Donetsk,1704.78,0,-1
0,1,Fenerbahçe,1647,0,-4
0,1,Stuttgart,1543.35,1,0
0,1,Benfica,1729.75,0,-1
0,1,Feyenoord,1694.1,0,-2
0,1,Club Brugge,1716.53,0,-1
0,1,AC Milan,1863.51,3,3
0,1,Stade Brestois,1529.04,0,-5
0,2,Borussia Dortmund,1902.66,4,4
0,2,Real Madrid,2101.85,6,7
0,2,PSV,1688.05,4,1
0,2,Manchester City,2016.15,2,0
0,2,Bayern Munich,2053.25,6,6
0,2,Lille,1674.89,4,1
0,2,Inter,1888.67,4,1
0,2,Atletico Madrid,1925.89,6,4
0,2,PSG,2023.59,6,6
0,2,Celtic,1621.04,1,-3
0,2,Liverpool,1992.86,6,4
0,2,Leipzig,1811.38,6,3
0,2,Young Boys,1618.78,0,-3
0,2,Barcelona,2085.82,6,4
0,2,Bayer Leverkusen,1847.37,0,-3
0,2,Atalanta,1849.51,3,0
0,2,Sporting CP,1674.54,0,-5
0,2,AS Monaco,1600.93,2,0
0,2,Aston Villa,1595.75,3,-2
0,2,Juventus,1948.91,4,1
0,2,PAOK,1648.39,0,-3
0,2,Galatasaray,1619.72,3,2
0,2,Bologna,1579.74,3,0
0,2,Girona,1556.24,0,-5
0,2,Maccabi Tel Aviv,1637.55,4,2
0,2,Arsenal,1831.67,3,0
0,2,Sparta Praha,1580.13,1,-3
0,2,Sturm Graz,1530.42,1,-3
0,2,Shakhtar Donetsk,1714.92,3,0
0,2,Fenerbahçe,1640.5,0,-5
0,2,Stuttgart,1540.39,2,0
0,2,Benfica,1735.82,1,-1
0,2,Feyenoord,1686.82,0,-5
0,2,Club Brugge,1718.73,1,-1
0,2,AC Milan,1863.85,4,3
0,2,Stade Brestois,1523.2,0,-7
0,3,Borussia Dortmund,1904.35,7,5
0,3,Real Madrid,2102.65,9,8
0,3,PSV,1679.48,4,0
0,3,Manchester City,2017.29,5,5
0,3,Bayern Munich,2060.15,9,9
0,3,Lille,1667.46,4,-1
0,3,Inter,1881.78,4,-2
0,3,Atletico Madrid,1929.88,9,5
0,3,PSG,2016.74,6,5
0,3,Celtic,1631.1,4,-1
0,3,Liverpool,1985.97,6,1
0,3,Leipzig,1818.27,9,4
0,3,Young Boys,1622.6,1,-3
0,3,Barcelona,2092.66,9,5
0,3,Bayer Leverkusen,1848.77,1,-3
0,3,Atalanta,1848.1,4,0
