run,round 20 average point difference,round 21 average point difference,round 22 average point difference,round 23 average point difference,round 24 average point difference,round 25 average point difference,round 26 average point difference,round 27 average point difference,round 28 average point difference,round 29 average point difference,round 30 average point difference,round 31 average point difference,round 32 average point difference,round 33 average point difference,round 34 average point difference,round 35 average point difference,round 36 average point difference,round 37 average point difference,round 38 average point difference
0,15,19,17,18,18,19,15,11,7,9,9,16,29,30,24,25,36,29,28
1,14,15,17,15,16,18,7,11,14,16,13,12,16,22,25,24,28,30,30
2,12,15,15,17,17,17,15,7,10,14,17,4,22,23,27,26,27,29,27
3,19,21,17,18,13,20,7,17,11,14,17,7,29,30,34,29,35,28,38
4,16,17,16,20,21,20,11,16,8,13,18,11,20,24,27,30,28,26,28
5,18,17,18,18,20,23,11,14,12,16,12,14,24,25,28,30,29,29,28
6,17,18,17,21,17,20,15,10,9,8,11,16,24,26,26,25,27,27,30
7,14,14,16,17,18,14,15,13,8,15,11,6,19,24,25,25,25,28,28
8,15,15,16,19,17,19,10,15,12,15,8,15,23,20,26,27,25,24,29
9,14,20,19,19,22,21,15,9,9,6,18,17,27,29,30,30,25,33,31
10,13,13,15,16,11,18,8,13,8,13,10,7,19,19,23,24,25,24,28
11,16,18,15,18,18,19,12,5,6,6,18,19,22,25,27,29,31,27,31
12,12,17,16,16,14,21,10,16,11,17,14,5,25,24,27,22,27,26,20
13,17,20,17,23,18,22,6,5,16,13,20,11,29,31,33,34,35,34,30
14,20,16,19,23,25,19,12,16,12,14,15,9,19,23,25,32,30,36,32
15,13,17,17,18,18,17,17,6,16,13,9,12,24,19,26,25,28,26,24
16,19,18,15,17,17,20,16,9,6,7,17,14,26,22,26,26,29,30,28
17,15,17,17,18,16,18,14,13,11,5,10,17,24,24,21,25,26,23,28
18,11,12,12,12,12,15,9,6,12,12,14,18,19,19,22,20,21,23,25
19,18,15,17,19,17,19,9,18,9,7,16,18,20,25,28,28,31,31,28
20,15,19,18,18,21,20,6,12,12,8,15,21,25,28,27,30,30,37,29
21,15,17,16,18,21,23,9,11,12,17,11,13,25,28,27,26,27,33,33
22,15,17,17,19,18,21,14,16,11,12,6,8,23,26,27,26,30,23,29
23,15,17,13,18,16,22,15,8,6,15,9,18,23,26,28,30,30,27,24
24,19,18,18,20,19,20,10,12,9,14,14,11,28,24,30,33,29,29,30
25,17,19,24,23,19,24,9,14,18,6,15,12,24,22,33,27,35,31,31
26,15,21,16,20,19,24,9,5,21,12,8,11,31,29,31,30,31,36,34
27,15,19,19,16,16,21,9,10,11,14,11,15,24,22,28,21,28,27,26
28,14,15,15,18,18,18,15,17,3,8,8,19,25,22,26,24,28,27,30
29,15,15,14,18,18,16,12,17,10,10,9,9,22,19,24,23,26,30,28
30,16,15,17,18,17,17,14,12,14,6,11,12,23,23,27,24,22,29,29
31,14,16,17,18,17,19,9,11,11,9,10,11,19,22,26,24,23,27,25
32,14,15,16,16,17,15,15,6,6,8,13,14,22,21,23,25,30,27,28
