run,round winner decided,number lead changes,number relegation changes
0,34,1,1
1,38,1,1
2,38,4,4
3,34,1,1
4,36,4,4
5,38,2,2
6,37,1,1
7,36,2,2
8,35,1,1
9,36,1,1
10,36,4,4
11,34,1,1
12,35,1,1
13,38,1,1
14,37,1,1
15,35,2,2
16,36,1,1
17,36,1,1
18,35,1,1
19,36,3,3
20,38,4,4
21,36,1,1
22,35,1,1
23,35,3,3
24,37,1,1
25,35,1,1
26,38,2,2
27,35,1,1
28,37,2,2
29,37,3,3
30,37,3,3
31,38,3,3
32,38,5,5
33,38,3,3
34,37,7,7
35,37,1,1
36,35,1,1
37,36,2,2
38,35,1,1
39,35,1,1
40,38,1,1
41,38,3,3
42,36,2,2
43,35,1,1
44,38,1,1
45,37,1,1
46,37,2,2
47,34,1,1
48,37,5,5
49,36,1,1
50,37,1,1
51,37,1,1
52,37,1,1
53,33,1,1
54,38,1,1
55,36,1,1
56,31,1,1
57,35,1,1
58,36,3,3
59,34,1,1
60,32,1,1
61,37,1,1
62,37,3,3
63,36,4,4
64,38,2,2
65,34,1,1
66,37,1,1
67,34,1,1
68,38,2,2
69,37,1,1
70,36,1,1
71,31,1,1
72,38,1,1
73,36,2,2
74,36,1,1
75,37,6,6
76,36,1,1
77,36,3,3
78,38,2,2
79,32,1,1
80,38,3,3
81,38,4,4
82,30,1,1
83,35,1,1
84,36,2,2
85,37,1,1
86,38,4,4
87,35,1,1
88,38,1,1
89,35,1,1
90,33,1,1
91,37,1,1
92,34,5,5
93,37,1,1
94,36,3,3
95,36,1,1
96,33,1,1
97,37,1,1
98,33,1,1
99,37,2,2
