run;number_irrelevant_matches_round_6;number_partially_relevant_matches_round_6;number_highly_relevant_matches_round_6;number_qualifiers_decided_round_6;number_playoffs_decided_round_6;number_relegation_decided_round_6;number_undecided_round_6;number_irrelevant_matches_round_7;number_partially_relevant_matches_round_7;number_highly_relevant_matches_round_7;number_qualifiers_decided_round_7;number_playoffs_decided_round_7;number_relegation_decided_round_7;number_undecided_round_7;number_irrelevant_matches_round_8;number_partially_relevant_matches_round_8;number_highly_relevant_matches_round_8;number_qualifiers_decided_round_8;number_playoffs_decided_round_8;number_relegation_decided_round_8;number_undecided_round_8
0;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;9;8;3;5;3;25
1;0;0;18;0;0;0;36;0;0;18;0;0;0;36;5;7;6;6;6;5;19
2;0;0;18;0;0;0;36;0;0;18;0;0;0;36;0;5;13;0;2;3;31
3;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;5;12;2;1;4;29
4;0;0;18;0;0;0;36;0;0;18;0;0;0;36;0;9;9;4;4;1;27
5;0;0;18;0;0;0;36;0;0;18;0;0;0;36;3;6;9;3;2;7;24
6;0;0;18;0;0;0;36;0;0;18;0;0;0;36;0;9;9;3;1;5;27
7;0;0;18;0;0;0;36;0;2;16;0;0;2;34;1;7;10;4;1;4;27
8;0;0;18;0;0;0;36;0;2;16;0;0;2;34;3;9;6;4;4;7;21
9;0;0;18;0;0;0;36;0;0;18;0;0;0;36;2;7;9;2;3;6;25
10;0;0;18;0;0;0;36;0;0;18;0;0;0;36;3;7;8;3;3;7;23
11;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;11;6;3;5;5;23
12;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;6;11;3;0;5;28
13;0;0;18;0;0;0;36;0;0;18;0;0;0;36;0;8;10;1;5;2;28
14;0;0;18;0;0;0;36;0;1;17;0;0;1;35;0;10;8;2;3;5;26
15;0;0;18;0;0;0;36;0;2;16;1;0;1;34;1;6;11;4;0;4;28
16;0;0;18;0;0;0;36;0;0;18;0;0;0;36;0;7;11;4;0;3;29
17;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;5;12;3;1;3;29
18;0;0;18;0;0;0;36;0;0;18;0;0;0;36;0;7;11;3;2;2;29
19;0;0;18;0;0;0;36;0;0;18;0;0;0;36;2;9;7;2;8;3;23
20;0;0;18;0;0;0;36;0;1;17;1;0;0;35;3;7;8;6;0;7;23
21;0;0;18;0;0;0;36;0;0;18;0;0;0;36;4;8;6;2;9;5;20
22;0;0;18;0;0;0;36;0;1;17;1;0;0;35;1;8;9;6;0;4;26
23;0;0;18;0;0;0;36;0;0;18;0;0;0;36;0;8;10;5;0;3;28
24;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;6;11;1;1;6;28
25;0;0;18;0;0;0;36;0;1;17;0;0;1;35;1;8;9;3;3;4;26
26;0;0;18;0;0;0;36;0;2;16;1;0;1;34;1;4;13;1;2;3;30
27;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;7;10;3;2;4;27
28;0;0;18;0;0;0;36;0;1;17;1;0;0;35;2;7;9;4;4;3;25
29;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;10;7;2;0;10;24
30;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;5;12;2;2;3;29
31;0;0;18;0;0;0;36;0;1;17;1;0;0;35;3;4;11;3;0;7;26
32;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;8;9;2;3;5;26
33;0;0;18;0;0;0;36;0;0;18;0;0;0;36;4;4;10;3;4;5;24
34;0;0;18;0;0;0;36;0;3;15;2;0;1;33;4;6;8;5;6;3;22
35;0;0;18;0;0;0;36;0;1;17;1;0;0;35;1;6;11;2;3;3;28
36;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;8;9;3;2;5;26
37;0;0;18;0;0;0;36;0;0;18;0;0;0;36;0;3;15;1;2;0;33
38;0;0;18;0;0;0;36;0;2;16;1;0;1;34;2;7;9;3;2;6;25
39;0;0;18;0;0;0;36;0;0;18;0;0;0;36;0;11;7;4;2;5;25
40;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;9;8;4;5;2;25
41;0;0;18;0;0;0;36;0;2;16;1;0;1;34;1;8;9;4;0;6;26
42;0;0;18;0;0;0;36;0;3;15;0;0;3;33;1;8;9;3;0;7;26
43;0;0;18;0;0;0;36;0;0;18;0;0;0;36;0;2;16;1;0;1;34
44;0;0;18;0;0;0;36;0;1;17;0;0;1;35;0;10;8;2;3;5;26
45;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;7;10;3;5;1;27
46;0;0;18;0;0;0;36;0;2;16;0;0;2;34;1;6;11;3;2;3;28
47;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;4;13;3;1;2;30
48;0;0;18;0;0;0;36;0;0;18;0;0;0;36;0;10;8;3;4;3;26
49;0;0;18;0;0;0;36;0;1;17;1;0;0;35;3;8;7;4;7;3;22
50;0;0;18;0;0;0;36;0;0;18;0;0;0;36;3;6;9;1;6;5;24
51;0;0;18;0;0;0;36;0;2;16;2;0;0;34;1;8;9;4;0;6;26
52;0;0;18;0;0;0;36;0;0;18;0;0;0;36;0;6;12;2;0;4;30
53;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;6;11;3;3;2;28
54;0;0;18;0;0;0;36;0;1;17;0;0;1;35;5;4;9;6;2;6;22
55;0;0;18;0;0;0;36;1;4;13;2;0;4;30;4;3;11;4;0;7;25
56;0;0;18;0;0;0;36;0;0;18;0;0;0;36;0;6;12;3;0;3;30
57;0;0;18;0;0;0;36;0;1;17;1;0;0;35;1;7;10;3;4;2;27
58;0;0;18;0;0;0;36;0;0;18;0;0;0;36;2;3;13;3;2;2;29
