run,title_contenders_round_34,title_contenders_round_35,title_contenders_round_36,title_contenders_round_37,title_contenders_round_38,champions_league_contenders_round_34,champions_league_contenders_round_35,champions_league_contenders_round_36,champions_league_contenders_round_37,champions_league_contenders_round_38,europe_league_contenders_round_34,europe_league_contenders_round_35,europe_league_contenders_round_36,europe_league_contenders_round_37,europe_league_contenders_round_38,conference_league_contenders_round_34,conference_league_contenders_round_35,conference_league_contenders_round_36,conference_league_contenders_round_37,conference_league_contenders_round_38,relegation_contenders_round_34,relegation_contenders_round_35,relegation_contenders_round_36,relegation_contenders_round_37,relegation_contenders_round_38,no_contenders_round34,no_contenders_round35,no_contenders_round36,no_contenders_round37,no_contenders_round38,title_secured_round34,title_secured_round35,title_secured_round36,title_secured_round37,title_secured_round38,champions_league_secured_round34,champions_league_secured_round35,champions_league_secured_round36,champions_league_secured_round37,champions_league_secured_round38,europe_league_secured_round34,europe_league_secured_round35,europe_league_secured_round36,europe_league_secured_round37,europe_league_secured_round38,conference_league_secured_round34,conference_league_secured_round35,conference_league_secured_round36,conference_league_secured_round37,conference_league_secured_round38,no_price_secured_round34,no_price_secured_round35,no_price_secured_round36,no_price_secured_round37,no_price_secured_round38,relegation_secured_round34,relegation_secured_round35,relegation_secured_round36,relegation_secured_round37,relegation_secured_round38,irrelevant_matches_round_34,irrelevant_matches_round_35,irrelevant_matches_round_36,irrelevant_matches_round_37,irrelevant_matches_round_38,partially_relevant_matches_round_34,partially_relevant_matches_round_35,partially_relevant_matches_round_36,partially_relevant_matches_round_37,partially_relevant_matches_round_38,highly_relevant_matches_round_34,highly_relevant_matches_round_35,highly_relevant_matches_round_36,highly_relevant_matches_round_37,highly_relevant_matches_round_38
0,5,3,2,2,2,6,7,7,4,2,2,2,2,1,2,0,0,0,0,1,4,4,2,0,0,3,4,7,13,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,9,9,1,1,2,3,3,0,1,1,5,4,3,2,5,3,5,7,7,4,2,1
1,2,2,2,0,0,8,4,4,2,0,3,6,2,2,2,1,1,4,2,0,6,7,4,3,3,0,0,4,11,15,0,0,0,1,1,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,3,6,8,0,0,1,2,2,0,0,0,2,5,0,0,4,7,5,10,10,6,1,0
2,2,0,0,0,0,9,7,5,3,2,0,2,4,3,3,2,0,0,3,0,7,6,6,3,3,0,5,5,8,12,0,1,1,1,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,5,8,0,1,1,1,1,0,1,1,2,2,0,3,3,4,8,10,6,6,4,0
3,0,0,0,0,0,7,6,4,2,2,5,4,4,4,4,2,0,1,0,0,5,3,3,2,0,1,7,8,12,14,1,1,1,1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,4,4,7,8,0,2,2,2,3,0,1,0,3,4,1,5,8,6,6,9,4,2,1,0
4,6,6,2,2,2,3,1,4,4,0,1,1,1,0,0,4,5,6,2,2,4,3,2,2,0,2,4,5,10,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,3,8,9,2,2,2,2,3,0,0,0,2,6,2,4,5,6,4,8,6,5,2,0
5,2,2,2,0,0,7,6,5,5,2,3,1,1,1,2,0,0,1,0,1,8,6,5,4,2,0,5,6,10,13,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,5,7,8,0,1,1,1,2,0,0,1,2,4,0,5,4,6,5,10,5,5,2,1
6,6,4,4,4,3,2,2,1,0,0,3,5,6,0,0,2,2,0,5,3,6,6,2,0,0,1,1,7,11,14,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,5,6,8,1,1,2,3,3,0,0,1,3,5,1,1,5,5,4,9,9,4,2,1
7,4,3,2,0,0,4,4,3,2,0,2,2,4,2,3,1,1,0,0,0,7,7,6,4,3,2,3,5,12,14,0,0,0,1,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,3,5,8,8,0,0,0,1,2,0,1,1,2,4,2,1,3,8,6,8,8,6,0,0
8,4,0,0,0,0,6,8,5,3,0,3,2,3,2,4,1,0,0,2,0,0,0,0,0,0,6,10,12,13,16,0,1,1,1,1,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,3,6,7,7,9,3,3,3,3,3,0,4,3,4,6,6,2,6,5,4,4,4,1,1,0
9,2,2,2,0,0,6,5,4,4,3,1,1,1,1,0,1,1,2,0,0,9,9,5,3,0,1,2,6,12,17,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,4,8,10,0,0,2,2,3,0,0,1,3,7,1,2,4,6,3,9,8,5,1,0
