run,title_contenders_round_34,title_contenders_round_35,title_contenders_round_36,title_contenders_round_37,title_contenders_round_38,champions_league_contenders_round_34,champions_league_contenders_round_35,champions_league_contenders_round_36,champions_league_contenders_round_37,champions_league_contenders_round_38,relegation_contenders_round_34,relegation_contenders_round_35,relegation_contenders_round_36,relegation_contenders_round_37,relegation_contenders_round_38,no_stakes_round34,no_stakes_round35,no_stakes_round36,no_stakes_round37,no_stakes_round38,title_matches_round_34,title_matches_round_35,title_matches_round_36,title_matches_round_37,title_matches_round_38,champions_league_matches_round_34,champions_league_matches_round_35,champions_league_matches_round_36,champions_league_matches_round_37,champions_league_matches_round_38,relegation_matches_round_34,relegation_matches_round_35,relegation_matches_round_36,relegation_matches_round_37,relegation_matches_round_38,title_vs_relegation_matches_round_34,title_vs_relegation_matches_round_35,title_vs_relegation_matches_round_36,title_vs_relegation_matches_round_37,title_vs_relegation_matches_round_38,champions_league_vs_relegation_matches_round_34,champions_league_vs_relegation_matches_round_35,champions_league_vs_relegation_matches_round_36,champions_league_vs_relegation_matches_round_37,champions_league_vs_relegation_matches_round_38,irrelevant_matches_round_34,irrelevant_matches_round_35,irrelevant_matches_round_36,irrelevant_matches_round_37,irrelevant_matches_round_38,partially_relevant_matches_round_34,partially_relevant_matches_round_35,partially_relevant_matches_round_36,partially_relevant_matches_round_37,partially_relevant_matches_round_38,highly_relevant_matches_round_34,highly_relevant_matches_round_35,highly_relevant_matches_round_36,highly_relevant_matches_round_37,highly_relevant_matches_round_38
0,3,0,0,0,0,7,7,7,4,3,9,6,4,4,3,3,7,9,12,14,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,7,3,4,6,7,3,4,2,0
1,2,2,2,2,2,9,4,3,3,2,13,10,6,6,4,1,4,9,9,12,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,4,5,5,6,9,6,3,3,1
2,2,2,2,2,2,6,3,2,0,0,7,6,3,2,2,5,9,13,16,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,6,6,3,5,3,4,4,6,3,2,0,0
3,2,0,0,0,0,6,6,5,5,0,6,5,3,2,2,6,9,12,13,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,8,4,9,4,5,2,5,1,2,1,0
4,2,2,2,2,2,4,4,4,4,0,9,5,4,4,3,5,9,10,10,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,3,6,1,7,2,4,3,7,2,4,3,1
5,4,3,3,3,3,0,0,0,0,0,7,7,6,2,0,9,10,11,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,7,6,5,5,3,2,2,2,0,0
6,2,2,2,2,0,7,7,7,7,4,7,7,3,0,0,4,4,8,11,16,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,6,2,2,6,7,4,7,7,3,1,0
7,2,2,2,0,0,7,5,4,0,0,6,6,4,4,2,5,7,10,16,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,8,3,5,4,4,2,6,4,3,0,0
8,2,2,0,0,0,7,6,5,3,2,9,7,5,5,4,2,5,10,12,14,0,0,0,0,0,2,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,2,5,6,4,2,8,5,2,2,2
9,2,2,2,0,0,7,6,5,3,3,3,0,0,0,0,8,12,13,17,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,7,8,6,3,3,3,2,1,2,0,0
