,run,irrelevant_matches_round_34,irrelevant_matches_round_35,irrelevant_matches_round_36,irrelevant_matches_round_37,irrelevant_matches_round_38,highly_relevant_matches_round_34,highly_relevant_matches_round_35,highly_relevant_matches_round_36,highly_relevant_matches_round_37,highly_relevant_matches_round_38,partially_relevant_matches_round_34,partially_relevant_matches_round_35,partially_relevant_matches_round_36,partially_relevant_matches_round_37,partially_relevant_matches_round_38
0,0,0,2,4,5,6,8,4,2,1,0,2,4,4,4,4
1,1,1,3,5,8,10,3,2,1,0,0,6,5,4,2,0
2,2,1,1,5,6,8,3,1,2,0,0,6,8,3,4,2
3,3,0,1,1,3,6,6,4,1,1,0,4,5,8,6,4
4,4,0,0,2,5,6,6,5,1,1,1,4,5,7,4,3
5,5,0,1,1,2,4,3,4,3,2,1,7,5,6,6,5
6,6,0,0,1,4,5,7,6,5,2,1,3,4,4,4,4
7,7,1,1,2,3,6,4,4,3,2,1,5,5,5,5,3
8,8,3,4,4,5,10,3,1,1,0,0,4,5,5,5,0
9,9,0,0,1,3,6,7,4,3,3,0,3,6,6,4,4
10,10,0,1,2,5,7,5,4,4,0,0,5,5,4,5,3
11,11,0,0,2,4,6,9,4,3,0,0,1,6,5,6,4
12,12,0,1,3,6,5,8,5,2,2,0,2,4,5,2,5
13,13,2,2,5,4,9,5,2,4,0,1,3,6,1,6,0
14,14,0,1,1,5,8,9,6,1,1,0,1,3,8,4,2
15,15,1,2,4,6,7,4,1,0,1,0,5,7,6,3,3
16,16,1,0,3,6,8,7,3,4,0,0,2,7,3,4,2
17,17,2,2,6,7,8,4,3,1,0,0,4,5,3,3,2
18,18,2,5,5,6,8,4,3,0,0,1,4,2,5,4,1
19,19,0,1,5,8,8,6,3,2,1,0,4,6,3,1,2
20,20,0,0,2,4,6,7,3,2,2,0,3,7,6,4,4
21,21,1,1,3,3,5,5,3,2,0,0,4,6,5,7,5
22,22,0,1,2,4,6,10,4,4,2,1,0,5,4,4,3
23,23,0,2,2,4,6,4,3,0,1,0,6,5,8,5,4
24,24,0,3,2,4,6,5,5,2,3,1,5,2,6,3,3
25,25,0,2,3,4,6,9,5,2,3,0,1,3,5,3,4
26,26,0,2,2,2,4,8,6,3,1,0,2,2,5,7,6
27,27,1,2,2,5,4,5,5,1,1,0,4,3,7,4,6
28,28,3,3,3,5,6,5,3,2,2,1,2,4,5,3,3
29,29,1,2,4,5,8,6,4,2,0,0,3,4,4,5,2
30,30,1,3,2,6,10,4,4,1,1,0,5,3,7,3,0
31,31,0,0,3,4,4,6,3,0,1,0,4,7,7,5,6
32,32,0,0,2,3,7,7,7,3,2,0,3,3,5,5,3
33,33,1,3,6,10,10,3,3,0,0,0,6,4,4,0,0
34,34,0,0,0,4,6,8,5,5,2,0,2,5,5,4,4
35,35,0,0,3,4,6,10,6,5,0,0,0,4,2,6,4
36,36,0,0,2,3,8,9,4,4,1,2,1,6,4,6,0
37,37,1,0,2,4,4,7,4,4,4,2,2,6,4,2,4
38,38,0,0,2,3,10,9,9,5,2,0,1,1,3,5,0
39,39,0,1,4,5,7,2,3,2,0,0,8,6,4,5,3
40,40,0,2,5,7,10,6,4,1,0,0,4,4,4,3,0
41,41,1,2,3,6,8,5,5,2,0,0,4,3,5,4,2
42,42,0,1,2,4,5,6,4,2,1,1,4,5,6,5,4
43,43,0,1,5,4,5,5,5,4,0,0,5,4,1,6,5
44,44,2,1,3,8,8,5,3,1,1,0,3,6,6,1,2
45,45,2,1,6,8,10,5,2,0,0,0,3,7,4,2,0
46,46,0,1,3,6,8,9,3,3,2,0,1,6,4,2,2
47,47,1,1,2,3,9,7,4,3,1,1,2,5,5,6,0
48,48,0,4,3,3,8,3,5,2,2,0,7,1,5,5,2
49,49,1,2,2,5,6,6,4,2,0,0,3,4,6,5,4
50,50,0,4,5,7,10,3,4,2,1,0,7,2,3,2,0
51,51,1,2,3,4,7,4,2,1,0,0,5,6,6,6,3
52,52,0,1,2,4,6,5,5,2,1,0,5,4,6,5,4
53,53,1,0,2,2,8,8,5,3,3,0,1,5,5,5,2
54,54,0,0,4,6,8,8,5,4,1,0,2,5,2,3,2
55,55,0,1,2,4,7,8,3,3,2,1,2,6,5,4,2
56,56,1,5,3,5,8,3,3,0,0,0,6,2,7,5,2
57,57,3,5,5,5,8,2,0,0,0,0,5,5,5,5,2
58,58,3,4,6,10,10,4,2,0,0,0,3,4,4,0,0
59,59,2,4,5,6,10,6,2,2,0,0,2,4,3,4,0
60,60,0,1,3,10,10,5,4,5,0,0,5,5,2,0,0
61,61,0,1,1,5,6,4,4,3,1,0,6,5,6,4,4
62,62,3,3,3,4,6,4,3,1,1,1,3,4,6,5,3
63,63,1,0,3,4,8,7,3,4,2,0,2,7,3,4,2
64,64,0,1,3,4,10,9,6,3,2,0,1,3,4,4,0
65,65,0,0,1,4,5,8,7,5,2,1,2,3,4,4,4
66,66,0,1,2,3,5,9,7,1,1,0,1,2,7,6,5
67,67,2,1,5,6,10,6,2,2,0,0,2,7,3,4,0
68,68,0,1,4,8,10,5,5,0,0,0,5,4,6,2,0
69,69,1,3,5,6,8,5,1,1,0,0,4,6,4,4,2
70,70,0,1,4,6,10,7,4,2,1,0,3,5,4,3,0
71,71,0,0,1,2,6,9,6,4,2,1,1,4,5,6,3
72,72,0,3,3,6,6,9,3,2,2,2,1,4,5,2,2
73,73,2,1,5,8,8,5,3,2,0,0,3,6,3,2,2
74,74,0,1,1,4,5,7,5,2,0,0,3,4,7,6,5
75,75,1,2,4,4,5,5,6,3,2,0,4,2,3,4,5
76,76,0,0,2,3,5,8,7,3,2,1,2,3,5,5,4
