homeTeam;awayTeam;irrelevant
1;11;0
4;16;1
15;6;0
5;2;0
8;18;0
3;19;0
12;13;1
14;17;1
10;9;1
20;7;0
5;14;0
10;1;1
3;6;0
15;2;1
8;9;1
19;17;0
11;13;1
16;12;0
18;4;0
20;7;1
3;7;0
1;5;0
6;8;0
10;11;0
17;14;0
4;13;0
15;12;1
19;16;0
9;2;1
18;20;0
20;8;0
5;3;0
1;10;1
7;11;0
16;19;1
12;13;1
2;15;1
18;9;0
17;6;0
14;4;0
16;3;1
2;11;0
7;19;1
5;13;1
4;20;1
17;15;1
12;9;1
18;1;0
8;6;0
10;14;0
19;15;1
11;14;0
5;12;0
7;1;0
9;2;1
10;18;0
4;3;0
8;20;1
13;16;1
17;6;0
4;3;0
2;7;0
12;5;1
6;17;1
1;18;0
8;19;0
15;9;0
14;13;1
20;16;1
11;10;1
2;18;0
17;6;0
10;5;0
3;7;0
8;1;1
13;16;1
12;14;0
11;4;1
19;15;0
20;9;1
18;4;0
1;14;1
17;5;0
3;7;1
2;15;1
12;6;1
13;20;0
9;11;1
19;16;1
10;8;0
2;7;1
6;12;1
5;14;0
10;3;0
4;1;0
9;18;1
13;8;1
16;17;1
11;15;1
19;20;1
